,Dataset,Category,HeadLines
95,bbc dataset,entertainment,دنیا کے پہلے کمرشل ڈرون نے روانڈا میں ڈیلیوری کا کام شروع کر دیا
96,bbc dataset,entertainment,دنیا کے گرد چکر لگانے کا نیا ریکارڈ فرانسیسی تیراک کے نام
97,bbc dataset,entertainment,دھرنا ہوم ورک
98,bbc dataset,entertainment,رنبیر اور سونم ایک بار پھر ساتھ ساتھ !
99,bbc dataset,entertainment,رنبیر کپور سنجے دت کا کردار ادا کریں گے
100,bbc dataset,entertainment,روبوٹک تھیراپی سے علاج
101,bbc dataset,entertainment,ریلوے لائن پر فوٹو شوٹ کرتے ماڈل ہلاک 
102,bbc dataset,entertainment,سابق سویت یونین کی یادیں
103,bbc dataset,entertainment,سال 2016 کی تصویری جھلکیاں
104,bbc dataset,entertainment,سام سنگ بھڑکتے ہوئے نوٹ 7 فون کے سبب منافع میں مزید کمی کی توقع
105,bbc dataset,entertainment,سام سنگ نوٹ سیون کے منافع میں مزید کمی متوقع
106,bbc dataset,entertainment,سام سنگ نے نوٹ سیون کی پروڈکشن مستقل طور پر بند کر دی
107,bbc dataset,entertainment,سام سنگ نے ڈیجیٹل معاونت کے سافٹ ویئر ویو کو خرید لیا
108,bbc dataset,entertainment,سام سنگ کو نوٹ7 واپس لینے کے بعد منافع میں نمایاں کمی کا سامنا
109,bbc dataset,entertainment,سام سنگ کی واشنگ مشین بھی پھٹنے لگی
110,bbc dataset,entertainment,سام سنگ گلیکسی نوٹ 7 کی فروخت روک دی گئی 
111,bbc dataset,entertainment,سام سنگ گیلیکسی نوٹ 7 کی فروخت بند
112,bbc dataset,entertainment,سخت سکیورٹی میں ’اے دل ہے مشکل‘ ریلیز 
113,bbc dataset,entertainment,سلمان اکشے کی تعریف کیوں کر رہے ہیں؟
114,bbc dataset,entertainment,سلمان خان اور جیکولین فرنینڈیس فلم کک کے سیکوئیل میں ایک بار پھر اکھٹے ہو رہے ہیں۔
115,bbc dataset,entertainment,سلمان کا ہیرو اور سلمان کا پارٹنر کون؟
116,bbc dataset,entertainment,سنگلز ڈے کا انعقاد ویلنٹائن ڈے کے مقابلے میں شروع ہوا
117,bbc dataset,entertainment,سنی لیونی اور بدلتا ہوئی بالی وڈ
118,bbc dataset,entertainment,سٹار وارز کی پرنسز کیری فشر چل بسیں
119,bbc dataset,entertainment,سڈنی کے ساحل پر مجسموں کا سالانہ میلہ، تصاویر میں
120,bbc dataset,entertainment,سیربین ٹی وی پروگرام آن ڈیمانڈ
121,bbc dataset,entertainment,سیڑھیاں پھلانگنے والا روبوٹ
122,bbc dataset,entertainment,شادی کے نام پر سودا
123,bbc dataset,entertainment,شاہ رخ اور عامر کی مقبولیت کا امتحان 
124,bbc dataset,entertainment,عامر خان کا نیا روپ کس فلم کے لیے ؟
125,bbc dataset,entertainment,عبدالباسط سے فیس بک لائیو
126,bbc dataset,entertainment,عظیم اداکار امیتابھ بچن کو جب کامیابی ملی تو پھر انھوں نے پیچھے مڑ کرنہ دیکھا۔
127,bbc dataset,entertainment,عمر کے ساتھ لڑکیوں میں باصلاحیت ہونے کے یقین کی کمی
128,bbc dataset,entertainment,فلم ’مالک‘ پر عائد پابندی ہٹا دی گئی
129,bbc dataset,entertainment,فن اور کھیل کو سیاست سے الگ رکھنا چاہیے جاوید شیخ
130,bbc dataset,entertainment,فیس بک کو اشتہارت سے کم آمدن کی توقع 
131,bbc dataset,entertainment,فیس بک، ٹوئٹر آئی پی ایل کے حقوق خریدنے کی دوڑ میں
132,bbc dataset,entertainment,لاہور سے آگے، بہت آگے
133,bbc dataset,entertainment,لاہور میں عروسی فیشن ویک کا آغاز
134,bbc dataset,entertainment,لندن کی سڑکوں پر زومبی نکل پڑے
135,bbc dataset,entertainment,لندن کے مشہور سیاحتی مقامات پر روبوٹس کی پریڈ
136,bbc dataset,entertainment,لندن کے چڑیا گھر سے فرار ہونے والا گوریلا سکواش سے لطف اندروز ہوتا رہا ہے
137,bbc dataset,entertainment,ماؤنٹ ایورسٹ سر کرنے والی پہلی جڑواں بہنیں
138,bbc dataset,entertainment,مادے پر تحقیق کے لیے نوبیل انعام
139,bbc dataset,entertainment,مال ویئر اے ٹی ایم مشینیں پیسے اگلنے لگیں
140,bbc dataset,entertainment,مختاراں مائی فیشن ’ریمپ‘ پر
141,bbc dataset,entertainment,مرغی کے پروں سے بنائی گئی پینٹگ
142,bbc dataset,entertainment,معروف اداکار عثمان خالد بٹ کا کہنا ہے کہ انھیں اداکاری سے زیادہ لکھنا پسند ہے
143,bbc dataset,entertainment,مین بکر انعام پال بیٹی کے ناول کے نام
144,bbc dataset,entertainment,نزدیکیوں اور پھر مبینہ بریک اپ کے بعد سے قطرینہ کیف مسلسل خبروں میں ہیں۔
145,bbc dataset,entertainment,نوری کے سُر کا سفر
146,bbc dataset,entertainment,نیوزی لینڈ کے ننھے کا انعام دس لاکھ ڈالر
147,bbc dataset,entertainment,وائلڈ لائف فوٹوگرافی انجیر کےلیے بندر کی کاوش پر ایوارڈ
148,bbc dataset,entertainment,واشنگٹن میں قرآنی نسخوں کی سب سے بڑی نمائش
149,bbc dataset,entertainment,وراثت میں ملے گھر سے 100 کلو سونا برآمد
150,bbc dataset,entertainment,ٹراؤٹ، سوات کی مشہور سوغات
151,bbc dataset,entertainment,ٹرین میں سیٹ لینےکے لیے حاملہ ہونے کی ایکٹنگ کرتی تھی ودیا بالن
152,bbc dataset,entertainment,ٹوئٹر پر ٹرینڈز کی جنگ
153,bbc dataset,entertainment,ٹویوٹا کا ننھا منا کیربو روبوٹ
154,bbc dataset,entertainment,ٹویوٹا کا کیروبو مینی نامی 'بچہ' روبوٹ
155,bbc dataset,entertainment,ٹیسلا کی نئی گاڑیوں میں خودکار نظام نصب ہوگا
156,bbc dataset,entertainment,پارکنگ ڈھونڈنے میں گاڑیاں ڈرائیور کی مدد کریں گی
157,bbc dataset,entertainment,پاپ سٹار جارج مائیکل انتقال کر گئے
158,bbc dataset,entertainment,پاکستان میں ٹیکنالوجی کے ذریعے ڈاکٹر تک رسائی
159,bbc dataset,entertainment,پاکستانی ’چائے والے‘ کے بعد اب ’ترکاری والی‘
160,bbc dataset,entertainment,پتلیوں میں ہاتھوں سے جان ڈالنا ایک مشکل آرٹ
161,bbc dataset,entertainment,پرینکا چوپڑا کی بالی وڈ میں واپسی
162,bbc dataset,entertainment,پرینکا چوپڑہ کے لیے سٹائل آئیکون ایوارڈ
163,bbc dataset,entertainment,پشاور کی نمک منڈی کے’چرسی‘ تکے
164,bbc dataset,entertainment,پوپ کے لیے ویٹیکن میں سرکس کا اہتمام
165,bbc dataset,entertainment,پہلا فلو زندگی بھر کے خطرے کو متاثر کرتا ہے
166,bbc dataset,entertainment,پیار سے ڈر لگتا ہے صاحب
167,bbc dataset,entertainment,پیرس ہلٹن کے ساتھ سیلفی کا موقع کون گنوائے گا؟
168,bbc dataset,entertainment,چپلی کباب، خیبرپختونخوا کی روایتی ڈش
169,bbc dataset,entertainment,چھ میں سے ایک طالبعلم انٹرنیٹ کے نشے کا شکار
170,bbc dataset,entertainment,چین سب سے بڑی دوربین نے کام شروع کر دیا
171,bbc dataset,entertainment,چین میں مقید اویغور مسلمان رہنما کے لیے انسانی حقوق کا ایوارڈ
172,bbc dataset,entertainment,چین میں ٹائٹینک جہاز کی نقل
173,bbc dataset,entertainment,چینی خلاباز اپنے سب سے لمبے سفر پر روانہ
174,bbc dataset,entertainment,چینی شادی سے اتنے بیزار کیوں؟
175,bbc dataset,entertainment,ڈرامے عام عورت کی زندگی کے عکاس ہیں؟
176,bbc dataset,entertainment,ڈومینک ریپبلک کے اخبار نے بولڈون کو اصل ٹرمپ سمجھ لیا
177,bbc dataset,entertainment,کائرہ پوہ 14 سالہ انڈور سکائی ڈائیونگ چیمپیئن
178,bbc dataset,entertainment,کار چور ریموٹ چابیوں کے لیے جیمرز کا استعمال کر سکتے ہیں
179,bbc dataset,entertainment,کافی ہم تک کیسے پہنچی؟
180,bbc dataset,entertainment,کراچی کا پہلا پان کیفے
181,bbc dataset,entertainment,کرن راؤ پاکستانی فلم کی سکریننگ کے لیے پرامید
182,bbc dataset,entertainment,کرینہ کپور کا مشورہ اور گووندا کی 'ری انٹری'
183,bbc dataset,entertainment,کلک میں ٹيکنالوجی کي دنيا سے تازہ ترين خبروں کے ساتھ ساتھ یہ ديکھيے
184,bbc dataset,entertainment,کم سن نوجوانوں کی زندگیوں کی تصویری جھلکیاں
185,bbc dataset,entertainment,کمپیوٹر اور ٹیبلٹس سے کتابوں میں رجحان کم تو ہوا ہے مگر اب بھی پڑھنے والوں کی کمی نہیں
186,bbc dataset,entertainment,کونچی ریوس سپین کی خاتون بُل فائٹر
187,bbc dataset,entertainment,کوہ پیمائی پر دستاویزی فلموں کا فیسٹیول
188,bbc dataset,entertainment,کیا آپ روزانہ کام پر جانے کے لیے 800 میٹر بلند چوٹی سر کر سکتے ہیں؟
189,bbc dataset,entertainment,کیا جھینگر کی سریلی آواز بند ہو جائے گی؟
190,bbc dataset,entertainment,کیا سلمان اور شاہ رخ کے ستارے عروج پر ہیں؟
191,bbc dataset,entertainment,کینیڈا کے پہاڑوں میں ریچھوں کی پول ڈانسنگ
192,bbc dataset,entertainment,گلو کار، نغمہ نگار باب ڈیلن کو ادب کا نوبل انعام
193,bbc dataset,entertainment,ہرمندر سنگھ منٹو کون ہے؟
194,bbc dataset,entertainment,ہٹلر کی فوج کے ٹوائلٹ پیپرز کی نیلامی
195,bbc dataset,entertainment,یہ ڈش سوشل میڈیا پر تنازع کیسے بنی؟
196,bbc dataset,entertainment,۔کلک میں ٹيکنالوجي کي دنيا سے تازہ ترين خبروں کے ساتھ ساتھ یہ ديکھيے
197,bbc dataset,entertainment,۔۔۔تُو بھاگ گیا
198,bbc dataset,entertainment,‘موسیقی کے لیے سات جنم بھی کم ہیں’
199,bbc dataset,entertainment,’اب فلم میں پروفیشنل لوگ آ رہے ہیں‘
200,bbc dataset,entertainment,’اجے کی عزت کرتی ہوں لیکن پسند سلمان ہیں‘
201,bbc dataset,entertainment,’اس قدر تعریف سے گھبرا جاتا ہوں‘
202,bbc dataset,entertainment,’اصلی تکہ تو پشاور کا ہی ہے‘
203,bbc dataset,entertainment,’انوشکا کے ساتھ منگنی نہیں کر رہا‘
204,bbc dataset,entertainment,’انٹرنیٹ پر آزادیِ اظہار رائے کی سکڑتی زمین‘
205,bbc dataset,entertainment,’انڈین ڈراموں کی فینٹسی کبھی کبھی اچھی لگتی ہے‘
206,bbc dataset,entertainment,’اگر آئی فون خریدا تو نوکری ختم‘
207,bbc dataset,entertainment,’ایک سو خواتین‘ عورتوں کی تکلیفیں، ترقی اور تجربات
208,bbc dataset,entertainment,’ایک ڈالر میں شادی‘ پر داد تحسین
209,bbc dataset,entertainment,’اے دلِ ہے مشکل ریلیز نہ ہونے کا افسوس‘
210,bbc dataset,entertainment,’برٹنی سپیئرز زندہ ہیں،‘ سونی کی معافی
211,bbc dataset,entertainment,’بچہ کوئی ’پپی‘ یا 'پلہ‘ نہیں ہوتا‘
212,bbc dataset,entertainment,’تبدیل شدہ گلیکسی نوٹ 7 کی بیٹری بھی پھٹ گئی‘
213,bbc dataset,entertainment,’تمہارے بعد اب کبھی ڈانس نہیں کروں گا‘
214,bbc dataset,entertainment,’جسٹن بیبر کے بہروپیے‘ پر بچوں کے جنسی استحصال کے سینکڑوں مقدمات
215,bbc dataset,entertainment,’جوشیلے شاعر‘ بیکل اتساہی چل بسے
216,bbc dataset,entertainment,’جونو‘نے مشتری کی نئی تصاویر بھیج دیں
217,bbc dataset,entertainment,’حالات بدل گئے،اب پاکستانی فنکار کاسٹ نہیں کروں گا‘
218,bbc dataset,entertainment,’دنیا کا سب سے مہنگا برگر‘
219,bbc dataset,entertainment,’دنیا کو ایک نئے زاویے سے دکھانے کی کوشش‘
220,bbc dataset,entertainment,’دوبارہ پھر سے‘ الجھی ہوئی محبتیں سلجھانے کی کہانی
221,bbc dataset,entertainment,’رباب دراصل روح کا باب ہے‘
222,bbc dataset,entertainment,’سنگ دلانہ‘ پیغام پرینکا کی معذرت 
223,bbc dataset,entertainment,’سیاسی بیان بازی فنکاروں کا کام نہیں‘
224,bbc dataset,entertainment,’شادی بھی ہماری دوستی کا کچھ نہیں بگاڑ پائی‘
225,bbc dataset,entertainment,’عالیہ پوجا سے بہتر اداکارہ ہے‘
226,bbc dataset,entertainment,’عامر خان موٹو پتلو کے لیے فٹ ہیں‘
227,bbc dataset,entertainment,’عمر کی زیادہ سے زیادہ حد 115 برس‘
228,bbc dataset,entertainment,’عوام کا پیار کسی بھی ایوارڈ سے بڑا ہے‘
229,bbc dataset,entertainment,’فلم مرزیا سائیں ظہور اور اختر چنال زہری کی آوازوں کے بغیر ادھوری ہوتی‘
230,bbc dataset,entertainment,’مجھے خلا میں کھٹکھٹانے کی آواز آئی‘
231,bbc dataset,entertainment,’مجھے رنبیر کپور کے کام پر فخر ہے‘
232,bbc dataset,entertainment,’مجھے لگا کہ اپنی مدد آپ ہی کرنا پڑے گی‘
233,bbc dataset,entertainment,’محبتیں اور رقابتیں دو الگ باتیں‘
234,bbc dataset,entertainment,’منفی کرداروں کو ایک موقع سمجھ کر کام کیا‘
235,bbc dataset,entertainment,’میری بیوی کی جگہ باورچی خانہ ہے‘
236,bbc dataset,entertainment,’نفرت کے سامنے کھڑے ہونے کی ضرورت ہے‘
237,bbc dataset,entertainment,’پانڈا کی آیا بننا کوئی آسان کام نہیں‘
238,bbc dataset,entertainment,’پاکستانی سینیما کو انڈین فلموں کی ضرورت ہے‘
239,bbc dataset,entertainment,’پاکستانی فلموں کو ریلیز نہیں ہونے دیں گے‘
240,bbc dataset,entertainment,’چاہے رلانا ہو یا ہنسانا، اداکاری سے پیار ہے‘
241,bbc dataset,entertainment,’ڈراموں پر بات کریں، ذاتی زندگی پر ووٹ نہیں چاہیے‘
242,bbc dataset,entertainment,’کولھوں کے درد کا تعلق ارتقائی دور سے ہو سکتا ہے‘
243,bbc dataset,entertainment,’ہاٹ ڈاگ‘ کا نام تبدیل کریں ورنہ۔۔
244,bbc dataset,entertainment,’ہر نیشنلسٹ فلم اینٹی انڈیا نہیں ہوتی‘
245,bbc dataset,entertainment,’ہم سب ایوی ایشن ماہرین ہیں‘
246,bbc dataset,entertainment,’ہمارے ٹی وی سکرین پر شب و روز تماشا ہوتا ہے‘
247,bbc dataset,politics,'اسرائیل یہودی ہو سکتا ہے یا پھر جمہوری'
248,bbc dataset,politics,'اینٹی بایوٹکس کے نیشنل ایکشن پلان کی ضرورت'
249,bbc dataset,politics,'بُرے سے نیا تجربہ بہتر ہے'، ٹرمپ کے پاکستانی نژاد حامیوں کا خیال
250,bbc dataset,politics,'تاب لائے ہی بنے گی غالب'
251,bbc dataset,politics,'شمالی کوریا کو جوہری پروگرام سے باز رکھنے کا منصوبہ ناکام'
252,bbc dataset,politics,'مائنس ون شریف'
253,bbc dataset,politics,'پارٹ ہرڈ' سے عدالت کی کیا مرادہے؟
254,bbc dataset,politics,'پاکستان امداد کی بجائے شدت پسندی روکنے پر توجہ دے'
255,bbc dataset,politics,'کشمیریوں کا غصہ دب گیا، ٹھنڈا نہیں ہوا'
256,bbc dataset,politics,'کون سا میڈیا ہاؤس جنگ نشر کرے گا؟'
257,bbc dataset,politics,'یہ ٹرمپ کی فتح نہیں ہلیری کی شکست ہے'
258,bbc dataset,politics,100 خواتین ام یحییٰ کا حلب
259,bbc dataset,politics,20 ارب نوٹ کیسے تلف ہوں گے؟
260,bbc dataset,politics,70 سال سے بند گرودوارہ کھولنے کا فیصلہ
261,bbc dataset,politics,negative words
262,bbc dataset,politics,positive words
263,bbc dataset,politics,آئیڈیاز 2016 جنگی ساز و سامان کی نمائش
264,bbc dataset,politics,آبی وسائل پر تعاون نہ ہونا تباہی کا باعث
265,bbc dataset,politics,آج حکومت سے ٹکر لینے کی ضرورت نہیں، دو تاریخ کو ہر صورت باہر نکلیں گے عمران
266,bbc dataset,politics,آخری صدارتی مباحثہ کس کے ہاتھ رہا؟
267,bbc dataset,politics,آرمی چیف نے سزائے موت پانے والے مزید 10 مجرمان کی سزاؤں کی توثیق کر دی ہے۔
268,bbc dataset,politics,آرمی چیف نے سوات میں فوجی چھاؤنی کا سنگ بنیاد رکھ دیا
269,bbc dataset,politics,آسٹریلوی گلوکارہ کی شادی ہم جنس پرستوں کے حق میں قانون کی منظوری سے مشروط
270,bbc dataset,politics,آسٹریلیا میں ’طوفانی دمے‘ سے آٹھ ہلاکتیں
271,bbc dataset,politics,آسٹریلیا نوآبادیاتی دور کو سراہنے پر برہمی
272,bbc dataset,politics,آفریدی اور میانداد میں زبانی اور ممکنہ عدالتی جنگ
273,bbc dataset,politics,آمدنی میں اضافے کا طریقہ، سعودی عرب کی ویزہ فیس میں اضافہ
274,bbc dataset,politics,آپ عالمی رہنماؤں کے مقابلے میں کہاں کھڑے ہیں؟
275,bbc dataset,politics,اترپردیش ریاستی اسمبلی کے انتخابات کے پانچویں مرحلے کی پولنگ
276,bbc dataset,politics,اترپردیش میں پہلے مرحلے میں 63 فیصد ووٹ ڈالے گئے
277,bbc dataset,politics,ادلیب پر فضائی حملے میں ہلاکتیں
278,bbc dataset,politics,ارجن کپور کس بات کی صفائی دے رہے ہیں؟
279,bbc dataset,politics,اردن میں تین امریکی فوجی ہلاک
280,bbc dataset,politics,ازبک صدر کی جگہ کون لے گا؟
281,bbc dataset,politics,ازبکستان کے صدر اسلام کریموف انتقال کر گئے ترکی
282,bbc dataset,politics,استنبول میں کار بم دھماکہ، 13 افراد ہلاک
283,bbc dataset,politics,اسرائیل کو بین الاقوامی عدالت میں لے جائیں گے صائب عریقات
284,bbc dataset,politics,اسلام آباد ایئر پورٹ جہاں لوگ اپنے پیاروں کے انتظار میں تھے
285,bbc dataset,politics,اسلام آباد بند کرنے کا اعلان، دوسرے صوبوں سے پولیس طلب
286,bbc dataset,politics,اسلام آباد سپین کے سفارت کار نے ’خودکشی‘ کر لی
287,bbc dataset,politics,اصلاحات میں عام قبائلی کي رائے شامل نہیں
288,bbc dataset,politics,افغان باشندوں کی وطن واپسی سے طالبعلم پریشان
289,bbc dataset,politics,افغان خاتون شربت گلہ کا اعتراف جرم، 15 دن کی سزا
290,bbc dataset,politics,افغان خاتون شربت گلہ کو 15 دن کی سزا
291,bbc dataset,politics,افغان صوبہ غور میں دولت اسلامیہ نے 30 یرغمالی شہری قتل کر دیے
292,bbc dataset,politics,افغان کانفرنس پر انڈیا، پاکستان کشیدگی 
293,bbc dataset,politics,افغانستان بلخ میں شیعہ مسجد میں خودکش دھماکے میں 14 ہلاکتیں
294,bbc dataset,politics,افغانستان قندوز میں طالبان کو 'شکست'
295,bbc dataset,politics,افغانستان میں ڈرون حملہ، القاعدہ کے سینئیر رہنما ہلاک
296,bbc dataset,politics,افغانستان ہیلی کاپٹر ’حادثے‘ میں سات ہلاکتیں
